***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
  4 ;LEVE   ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
  4 ;LEVE   ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
  4 ;LEVE   ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
  4 ;LEVE   ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
  4 ;LEVE   ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
  5 ;LEVE   ;  1 ;ANGRA 1      ;  1 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    200.00 ;
  5 ;LEVE   ;  1 ;ANGRA 1      ; 99 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
  5 ;LEVE   ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
  5 ;LEVE   ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
  5 ;LEVE   ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
  5 ;LEVE   ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
  5 ;LEVE   ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
  5 ;LEVE   ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
  5 ;LEVE   ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
  5 ;LEVE   ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
  6 ;LEVE   ;  1 ;ANGRA 1      ;  1 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    200.00 ;
  6 ;LEVE   ;  1 ;ANGRA 1      ; 99 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
  6 ;LEVE   ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
  6 ;LEVE   ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
  6 ;LEVE   ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
  6 ;LEVE   ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
  6 ;LEVE   ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
  6 ;LEVE   ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
  6 ;LEVE   ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
  6 ;LEVE   ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
  7 ;LEVE   ;  1 ;ANGRA 1      ;  1 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    200.00 ;
  7 ;LEVE   ;  1 ;ANGRA 1      ; 99 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
  7 ;LEVE   ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
  7 ;LEVE   ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
  7 ;LEVE   ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
  7 ;LEVE   ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
  7 ;LEVE   ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
  7 ;LEVE   ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
  7 ;LEVE   ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
